# Energy Density	Pressure	Density
4.684036970000000224e+02	1.416572470000000123e+02	4.371200000000000085e-01
4.760277350000000069e+02	1.468349499999999921e+02	4.425600000000000089e-01
4.837158220000000028e+02	1.520775460000000123e+02	4.480000000000000093e-01
4.914679620000000000e+02	1.573839680000000101e+02	4.534400000000000097e-01
4.992841450000000236e+02	1.627531989999999951e+02	4.588800000000000101e-01
5.071643520000000080e+02	1.681842690000000005e+02	4.643200000000000105e-01
5.151085500000000366e+02	1.736762510000000077e+02	4.697600000000000109e-01
5.231167000000000371e+02	1.792282600000000059e+02	4.752000000000000113e-01
5.311887510000000248e+02	1.848394470000000069e+02	4.806400000000000117e-01
5.393246450000000323e+02	1.905089959999999962e+02	4.860800000000000121e-01
5.475243159999999989e+02	1.962361249999999870e+02	4.915200000000000125e-01
5.557876909999999953e+02	2.020200820000000022e+02	4.969600000000000128e-01
5.641146919999999909e+02	2.078601390000000038e+02	5.023999999999999577e-01
5.725052319999999781e+02	2.137555969999999945e+02	5.078399999999999581e-01
5.809592199999999593e+02	2.197057790000000068e+02	5.132799999999999585e-01
5.894765609999999469e+02	2.257100320000000124e+02	5.187199999999999589e-01
5.980571539999999686e+02	2.317677199999999971e+02	5.241599999999999593e-01
6.067008939999999484e+02	2.378782300000000021e+02	5.295999999999999597e-01
6.154076720000000478e+02	2.440409649999999999e+02	5.350399999999999601e-01
6.241773739999999862e+02	2.502553470000000004e+02	5.404799999999999605e-01
6.330098840000000564e+02	2.565208099999999831e+02	5.459199999999999608e-01
6.419050829999999905e+02	2.628368070000000216e+02	5.513599999999999612e-01
6.508628469999999879e+02	2.692028040000000146e+02	5.567999999999999616e-01
6.598830530000000181e+02	2.756182779999999752e+02	5.622399999999999620e-01
6.689655709999999544e+02	2.820827209999999923e+02	5.676799999999999624e-01
6.781102710000000116e+02	2.885956360000000132e+02	5.731199999999999628e-01
6.873170209999999543e+02	2.951565370000000144e+02	5.785599999999999632e-01
6.965856860000000097e+02	3.017649490000000014e+02	5.839999999999999636e-01
7.059161299999999528e+02	3.084204060000000140e+02	5.894399999999999640e-01
7.153082150000000183e+02	3.151224520000000098e+02	5.948799999999999644e-01
7.247618009999999913e+02	3.218706409999999778e+02	6.003199999999999648e-01
7.342767470000000003e+02	3.286645350000000008e+02	6.057599999999999651e-01
7.438529109999999491e+02	3.355037050000000249e+02	6.111999999999999655e-01
7.534901469999999790e+02	3.423877269999999839e+02	6.166399999999999659e-01
7.631883129999999937e+02	3.493161880000000110e+02	6.220799999999999663e-01
